City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,khorugh,37.4897,71.553,17.57,34,0,2.5,TJ,1722877453
346,tengrela,10.4869,-6.4097,26.22,78,96,3.65,CI,1722877454
347,keflavik,64.0049,-22.5624,13.95,94,100,3.09,IS,1722877272
348,howick,-29.4779,30.2306,7.29,94,7,0.9,ZA,1722877261
349,nishinoomote,30.7333,131.0,28.72,77,18,3.1,JP,1722877224
350,tyukhtet,56.5389,89.3011,16.59,90,88,2.22,RU,1722877459
351,chinde,26.8212,87.7095,24.62,90,93,1.52,NP,1722877291
352,harper,4.375,-7.7169,25.53,75,72,3.37,LR,1722877461
353,la ronge,55.1001,-105.2842,19.14,45,100,2.06,CA,1722877462
354,lib,8.3122,167.3766,28.26,77,98,2.96,MH,1722877463
355,cill airne,52.05,-9.5167,18.03,63,0,5.66,IE,1722877464
356,poso,-1.3959,120.7524,24.57,83,68,2.59,ID,1722877466
357,bharatpur,27.2167,77.4833,27.6,77,14,4.56,IN,1722877467
358,nemuro,43.3236,145.575,16.5,100,100,0.22,JP,1722877330
359,megion,61.0296,76.1136,18.01,95,100,3.33,RU,1722877469
